event,run,cluster_size
16,1002,4,30.2454
110,1002,4,37.2872
112,1002,5,29.6764
150,1002,3,33.98
190,1002,3,23.6419
275,1002,4,35.6892
279,1002,3,41.8629
294,1002,1,14.8257
335,1002,2,19.0229
366,1002,4,34.6335
569,1002,4,36.7109
591,1002,5,35.5066
694,1002,6,36.4746
760,1002,6,45.4625
783,1002,6,34.2595
806,1002,8,41.0795
941,1002,6,35.4967
1045,1002,9,41.6942
1102,1002,8,34.0441
1119,1002,2,37.2591
1192,1002,3,42.5509
1392,1002,6,39.065
1393,1002,4,45.1638
1408,1002,4,34.2178
1437,1002,5,27.2835
1451,1002,7,48.2425
1538,1002,7,42.3621
1565,1002,3,33.8393
1608,1002,4,28.2791
1616,1002,7,39.1297
1691,1002,8,39.1305
1831,1002,2,30.9105
1910,1002,5,23.7762
1968,1002,6,28.8642
2062,1002,2,30.6322
2176,1002,7,38.582
2191,1002,3,30.9901
2279,1002,3,25.2447
2697,1002,6,32.0162
2741,1002,1,39.39
2754,1002,1,23.4227
2780,1002,6,38.4106
2812,1002,5,39.782
2833,1002,6,41.1848
2849,1002,4,35.0639
2882,1002,6,39.3518
2925,1002,8,45.4338
2947,1002,4,23.2134
3010,1002,7,36.3321
3043,1002,3,33.6748
3119,1002,8,44.3798
3160,1002,4,36.2952
3256,1002,4,35.2932
3421,1002,2,31.4827
3448,1002,4,36.8321
3451,1002,2,33.8414
3518,1002,3,15.1942
3524,1002,6,34.3098
3540,1002,4,36.398
3614,1002,5,42.3259
3674,1002,3,38.7123
3846,1002,2,25.4911
3917,1002,2,28.8879
3960,1002,6,42.8313
4120,1002,6,35.2506
4214,1002,2,37.5715
4243,1002,5,44.5252
4256,1002,5,40.1589
4276,1002,4,33.1243
4298,1002,6,35.5583
4308,1002,4,33.0069
4330,1002,4,33.5616
4366,1002,4,43.8589
4420,1002,5,45.3375
4452,1002,5,45.3767
4474,1002,3,34.3036
4485,1002,6,38.3451
4495,1002,4,40.9199
4607,1002,5,32.9438
4729,1002,2,38.5609
4902,1002,4,25.0303
4938,1002,6,37.9639
4958,1002,4,24.3109
4978,1002,5,44.4025
4998,1002,3,32.0354
5017,1002,3,36.6124
5046,1002,3,36.3469
5115,1002,3,32.927
5159,1002,3,36.9061
