cryId,reco,true,Residual
0,0.854794,0.884043,-0.0292494
1,0.793064,0.77898,0.0140839
2,0.843857,0.860027,-0.0161702
3,0.968592,0.997042,-0.0284508
4,1.24645,1.17654,0.0699056
5,0.808606,0.86333,-0.0547243
6,0.834113,0.837379,-0.00326571
7,0.518659,0.544856,-0.0261966
8,0.995635,0.984634,0.0110004
9,0.792273,0.789151,0.00312241
10,0.97063,0.998928,-0.0282983
11,1.07521,1.05562,0.0195943
12,1.22933,1.23557,-0.00624434
13,0.812861,0.831262,-0.0184006
14,0.724139,0.720832,0.00330744
15,1.07374,1.0601,0.0136416
16,1.00917,1.09155,-0.0823849
17,1.14931,1.25631,-0.107002
18,1.46436,1.44275,0.0216083
19,0.83234,0.811404,0.020936
20,1.01229,1.02766,-0.0153696
21,1.17795,1.23348,-0.0555309
22,1.00821,1.03737,-0.0291602
23,0.961458,0.945451,0.0160066
24,1.14879,1.12906,0.0197255
25,0.711766,0.752584,-0.0408184
26,1.09648,1.24846,-0.151986
27,0.813913,0.770618,0.0432951
28,1.02861,0.983704,0.0449094
29,1.14031,1.32294,-0.182627
30,0.993844,0.99591,-0.00206524
31,0.970197,0.962942,0.00725479
32,1.33048,1.33503,-0.00455315
33,0.865542,0.915391,-0.0498488
34,0.975016,1.00414,-0.0291264
35,1.02794,1.02802,-7.37468e-05
36,1.15389,1.13112,0.0227633
37,1.19497,1.22453,-0.0295661
38,0.732768,0.707026,0.0257418
39,0.935549,0.782108,0.153441
40,0.756178,0.805332,-0.0491541
41,0.997265,1.05636,-0.0590913
42,0.849277,0.829962,0.0193147
43,1.07956,1.12994,-0.0503816
44,0.958545,0.98985,-0.0313057
45,0.908973,0.900622,0.00835105
46,1.16064,1.14721,0.0134344
47,0.869529,0.862103,0.00742578
48,1.05127,1.11323,-0.0619561
49,0.935407,0.976197,-0.0407895
50,1.03657,1.07719,-0.0406193
51,1.15307,1.20514,-0.0520676
52,1.20232,1.25359,-0.0512678
53,0.527502,0.548856,-0.0213537
54,0.850021,0.87639,-0.0263689
55,1.01608,1.01923,-0.00314946
56,0.866117,0.898132,-0.0320156
57,1.10767,1.1195,-0.0118323
58,0.688963,0.683974,0.00498891
59,1.14137,1.19018,-0.048809
60,0.738789,0.792215,-0.0534265
61,0.938994,0.998819,-0.0598252
62,1.00738,0.997976,0.00940816
63,0.772754,0.856864,-0.0841098
64,0.826822,0.847834,-0.0210117
65,0.778371,0.825365,-0.0469937
66,1.00899,1.0345,-0.0255166
67,0.836919,0.926635,-0.0897162
68,0.889504,0.858441,0.0310638
69,0.85359,0.917827,-0.0642362
70,0.746691,0.750412,-0.00372045
71,0.679819,0.72458,-0.0447616
72,0.945408,1.04725,-0.10184
73,0.840125,0.919813,-0.0796878
74,0.73774,0.77477,-0.0370305
75,0.705634,0.723312,-0.0176775
76,0.824805,0.825082,-0.000276883
77,1.1848,1.20953,-0.0247306
78,1.09595,1.08322,0.0127226
79,0.764947,0.778962,-0.0140148
80,0.978953,0.977181,0.00177228
81,1.07979,1.13027,-0.050482
82,1.22837,1.23435,-0.00597132
83,0.904717,0.936678,-0.0319614
84,1.22942,1.24102,-0.0115987
85,1.02153,1.05047,-0.0289396
86,0.857108,0.893606,-0.036498
87,0.934517,0.939242,-0.00472524
88,1.03676,1.10597,-0.0692118
89,0.725162,0.771283,-0.0461216
90,0.914118,0.917245,-0.00312683
91,1.34101,1.21187,0.129143
92,1.14612,1.17939,-0.033266
93,0.883418,0.912327,-0.028909
94,0.685528,0.676538,0.00899004
95,1.19995,1.25378,-0.053831
96,1.1409,1.18909,-0.0481932
97,0.703997,0.770873,-0.0668768
98,0.918408,0.967269,-0.0488606
99,0.92002,0.957918,-0.0378986
100,0.831474,0.849192,-0.0177185
101,0.818447,0.86055,-0.0421029
102,1.08075,1.12523,-0.0444814
103,0.943393,0.940004,0.00338945
104,0.737362,0.76217,-0.0248082
105,1.42214,1.4996,-0.0774573
106,0.665202,0.736142,-0.0709406
107,0.964412,1.00617,-0.0417567
108,0.701651,0.754456,-0.0528055
109,0.723104,0.734372,-0.0112677
110,0.655034,0.671931,-0.0168967
111,0.828049,0.883731,-0.0556826
112,1.00933,1.0988,-0.0894698
113,0.832576,0.850857,-0.0182817
114,0.999195,1.04498,-0.0457875
115,1.45948,1.40958,0.0499059
116,1.28769,1.27593,0.01176
117,1.1782,1.23124,-0.0530389
118,1.1025,1.14497,-0.0424673
119,0.90768,0.933106,-0.0254262
120,0.645079,0.633984,0.0110945
121,0.806102,0.813498,-0.00739647
122,1.24697,1.19322,0.0537456
123,0.719684,0.716441,0.00324283
124,0.98534,1.02066,-0.0353202
125,0.685343,0.72332,-0.0379772
126,0.947401,0.999057,-0.0516563
127,0.496102,0.466532,0.0295699
128,0.725284,0.73787,-0.0125862
129,0.702922,0.703039,-0.000117219
130,1.05035,1.06373,-0.0133784
131,0.85784,0.877366,-0.0195256
132,1.10533,1.07676,0.0285777
133,1.09581,1.087,0.00880445
134,0.846135,0.837925,0.00820996
135,0.952973,1.01872,-0.0657485
136,1.0344,1.07339,-0.0389937
137,0.889416,0.906191,-0.0167749
138,0.974871,1.00686,-0.0319936
139,0.801551,0.810258,-0.00870723
140,1.10256,1.20733,-0.104769
141,0.840124,0.852255,-0.0121314
142,1.09578,1.21656,-0.120786
143,0.734068,0.798202,-0.0641341
144,0.807023,0.825656,-0.0186331
145,1.02791,1.09849,-0.0705818
146,1.28843,1.24154,0.0468939
147,0.789853,0.855879,-0.0660266
148,0.908012,1.01622,-0.108206
149,0.9825,1.10666,-0.124164
150,0.570894,0.567933,0.00296071
151,0.87616,0.93405,-0.0578903
152,0.739131,0.752418,-0.0132869
153,1.06582,1.06618,-0.000360695
154,0.734821,0.748849,-0.0140273
155,0.596507,0.600661,-0.00415322
156,1.33426,1.38173,-0.0474742
157,1.16863,1.25474,-0.0861084
158,0.994489,0.961022,0.0334663
159,1.11342,1.07983,0.0335954
160,1.05792,1.1073,-0.0493775
161,0.599851,0.621231,-0.0213801
162,1.11861,1.10511,0.013505
163,1.04036,1.09836,-0.058002
164,1.19776,1.2061,-0.00834083
165,0.9966,1.08794,-0.0913391
166,0.929876,0.992968,-0.0630915
167,0.982364,1.02696,-0.0445928
168,1.09469,1.1655,-0.0708104
169,1.07861,1.13527,-0.0566612
170,1.0813,1.0857,-0.00439473
171,0.953269,1.01438,-0.0611127
172,1.18064,1.11074,0.0698989
173,0.854751,0.877784,-0.0230326
174,1.076,1.10004,-0.0240471
175,0.603645,0.659766,-0.0561211
176,0.542372,0.594279,-0.0519065
177,1.33637,1.33927,-0.00290666
178,1.11942,1.19716,-0.0777394
179,0.736961,0.779999,-0.043038
180,1.03319,1.08369,-0.0505004
181,1.2523,1.30572,-0.0534221
182,0.811904,0.865815,-0.0539113
183,0.844328,0.938193,-0.0938647
184,0.983717,0.99924,-0.015523
185,0.786478,0.823665,-0.0371871
186,0.751411,0.773849,-0.0224375
187,0.881847,0.949178,-0.0673319
188,1.27293,1.34661,-0.0736793
189,1.35626,1.4353,-0.0790445
190,1.15261,1.19638,-0.0437672
191,1.06077,1.08445,-0.0236799
192,0.645372,0.707081,-0.0617095
193,0.943975,0.935645,0.00832992
194,1.11292,1.15651,-0.04359
195,1.11173,1.11401,-0.00227662
196,0.802214,0.811246,-0.00903234
197,1.11141,1.15007,-0.0386518
198,1.21674,1.33904,-0.122295
199,1.00832,1.07522,-0.0668984
200,1.01545,1.09276,-0.0773116
201,0.694616,0.734616,-0.0400001
202,0.687403,0.758528,-0.0711244
203,1.02587,1.0642,-0.038324
204,1.24228,1.31413,-0.071854
205,0.82599,0.907159,-0.081169
206,1.27107,1.30452,-0.033453
207,1.23287,1.25377,-0.0209006
208,0.82657,0.898598,-0.0720279
209,0.818622,0.860994,-0.0423712
210,0.98509,1.05146,-0.0663717
211,1.25264,1.33097,-0.0783287
212,0.941825,0.946697,-0.00487218
213,1.2279,1.29704,-0.0691439
214,0.61882,0.663558,-0.044738
215,0.824703,0.844089,-0.0193862
216,1.09911,1.16024,-0.061124
217,0.974215,0.991949,-0.0177342
218,0.99924,1.08504,-0.0858026
219,1.02729,1.09339,-0.0661028
220,1.24817,1.35814,-0.109969
221,0.817195,0.818585,-0.00139063
222,0.680824,0.659082,0.0217417
223,0.946677,0.945535,0.00114141
224,1.02131,1.14414,-0.122827
225,1.20408,1.24827,-0.0441912
226,0.965809,0.971932,-0.00612258
227,1.16759,1.2241,-0.0565101
228,0.687802,0.675535,0.0122669
229,0.653937,0.687855,-0.0339184
230,1.4341,1.22556,0.208536
231,1.04115,1.14729,-0.106142
232,0.838139,0.801592,0.0365468
233,1.09809,1.14697,-0.0488818
234,1.06401,1.19773,-0.13372
235,1.00935,1.01627,-0.00691422
236,0.840836,0.833593,0.00724215
237,1.28226,1.28464,-0.00237239
238,0.926487,0.951051,-0.0245649
239,0.869169,0.896778,-0.027609
240,0.7872,0.77149,0.0157091
241,1.06631,1.12155,-0.0552453
242,0.906295,0.943576,-0.0372817
243,0.480812,0.506096,-0.0252843
244,0.726149,0.793998,-0.0678491
245,0.885298,0.946005,-0.0607071
246,0.944301,1.05359,-0.109286
247,1.0291,1.17834,-0.149238
248,0.817983,0.824543,-0.00656044
249,1.1873,1.21754,-0.03024
250,0.797016,0.860831,-0.063815
251,1.20564,1.24731,-0.041675
252,0.649753,0.636242,0.0135106
253,0.885741,0.925577,-0.0398367
254,0.842813,0.892281,-0.049468
255,0.790434,0.831483,-0.0410495
256,1.00854,1.07014,-0.061595
257,1.06715,1.08596,-0.0188101
258,1.04718,1.10169,-0.0545129
259,0.949618,1.02559,-0.075977
260,0.766369,0.818195,-0.0518258
261,0.724388,0.822274,-0.0978859
262,0.882627,0.932803,-0.050176
263,0.790821,0.814223,-0.0234018
264,0.970503,1.00345,-0.0329465
265,1.19348,1.23133,-0.0378582
266,0.811996,0.856401,-0.0444049
267,0.958238,0.966206,-0.00796738
268,1.04835,1.07969,-0.0313315
269,0.672056,0.724339,-0.0522833
270,0.935125,0.942161,-0.00703574
271,1.1434,1.18002,-0.0366236
